OBJECTID_12,OBJECTID_1,OBJECTID,DISTRICT,DISTNAME,CAMPUS,CAMPNAME,STREET_MAI,CITY_MAIL,ZIP_MAIL,STREET,CITY,ZIP,COUNTY,CNTYNAME,REGION,GRADERANGE,GRADEGRP,VERIFY,INSTR_TYPE,STREET_M_1,ADJUST,Shape,Latitude,Longitude
1137,1137,7403,101913,HUMBLE ISD,101913008,ATASCOCITA H S,P O BOX 2000,HUMBLE,77346,13300 WILL CLAYTON PKWY,HUMBLE,77346,101,HARRIS COUNTY,4,09 10 11,4,0,REGULAR INSTRUCTIONAL,P O BOX 2000,Y,1137,29.994499,-95.177499
1138,1138,7404,101913,HUMBLE ISD,101913121,EAGLE SPRINGS ELEMENTARY,P O BOX 2000,HUMBLE,77346,12500 WILL CLAYTON PKWY,HUMBLE,77346,101,HARRIS COUNTY,4,PK KG 01 02 03 04 05,1,0,REGULAR INSTRUCTIONAL,P O BOX 2000,Y,1138,29.994499,-95.177499
1139,1139,7405,101913,HUMBLE ISD,101913122,PARK LAKES ELEMENTARY,P O BOX 2000,HUMBLE,77347,4400 WILSON LAKES RD,HUMBLE,77396,101,HARRIS COUNTY,4,EE PK KG 01 02 03 04 05,1,0,REGULAR INSTRUCTIONAL,P O BOX 2000,Y,1139,30,-95.25
12,12,56,101919,SPRING ISD,101919122,NORTHGATE ELEMENTARY,23437 NORTHGATE CROSSING BLVD,HOUSTON,77373,23437 NORTHGATE CROSSING BLVD,HOUSTON,77373,101,HARRIS COUNTY,4,EE - 05,1,0,REGULAR INSTRUCTIONAL,23437 NORTHGATE CROSSING BLVD,Y,12,30.062169,-95.383966
26,26,164,101919,SPRING ISD,101919128,GLORIA MARSHALL EL,24505 BIRNAMWOOD DR,SPRING,77373,24505 BIRNAMWOOD DR,SPRING,77373,101,HARRIS COUNTY,4,ELEMENTARY,1,0,REGULAR INSTRUCTIONAL,24505 BIRNAMWOOD DR,Y,26,30.062169,-95.383966
133,133,736,101919,SPRING ISD,101919117,SALYERS ELEMENTARY,25705 HARDY ST,SPRING,77373,25705 HARDY ST,SPRING,77373,101,HARRIS COUNTY,4,EE-5,1,0,REGULAR,25705 HARDY ST,Y,133,30.062169,-95.383966
1145,1145,7411,101919,SPRING ISD,101919018,CARL WUNSCHE SR H S,900 WUNSCHE LOOP,SPRING,77373,900 WUNSCHE LOOP,SPRING,77373,101,HARRIS COUNTY,4,10 11 12,4,1,REGULAR INSTRUCTIONAL,900 WUNSCHE LOOP,Y,1145,30.062169,-95.383966
31,31,202,101921,TOMBALL ISD,101921002,TOMBALL MEMORIAL H S,221 W  MAIN ST,TOMBALL,77375,19031 NORTHPOINTE RIDGE,TOMBALL,77377,101,HARRIS COUNTY,4,HIGH SCHOOL,4,0,REGULAR INSTRUCTIONAL,221 W  MAIN ST,Y,31,30.094886,-95.58583
65,65,383,101921,TOMBALL ISD,101921104,TOMBALL ALTERNATIVE EDUCATION CENTER,1302 KEEFER ST,TOMBALL,77375,1302 KEEFER ST,TOMBALL,77375,101,HARRIS COUNTY,4,EE-12,5,0,ALTERNATIVE,1302 KEEFER ST,Y,65,30.094886,-95.58583
153,153,834,101921,TOMBALL ISD,101921108,TOMBALL ELEMENTARY,1110 INWOOD,TOMBALL,77375,1110 INWOOD,TOMBALL,77375,101,HARRIS COUNTY,4,PK-4,1,1,REGULAR,1110 INWOOD,Y,153,30.094886,-95.58583
316,316,1603,101915,KLEIN ISD,101915101,KOHRVILLE ELEMENTARY SCHOOL,11600 WOODLAND SHORE DR,TOMBALL,77375,11600 WOODLAND SHORE DR,TOMBALL,77375,101,HARRIS COUNTY,4,EE-5,1,0,REGULAR,11600 WOODLAND SHORE DR,Y,316,30.094886,-95.58583
389,389,2008,101921,TOMBALL ISD,101921107,WILLOW CREEK EL,18302 N ELDRIDGE PKWY,TOMBALL,77375,18302 N ELDRIDGE PKWY,TOMBALL,77375,101,HARRIS COUNTY,4,PK-4,1,2,REGULAR,18302 N ELDRIDGE PKWY,Y,389,30.094886,-95.58583
1249,1249,8143,101921,TOMBALL ISD,101921112,CREEKSIDE FOREST EL,221 W MAIN ST,TOMBALL,77375,5949 CREEKSIDE FOREST DR,THE WOODLANDS,77389,101,HARRIS COUNTY,4,KG 01 02 03 04 05 06,1,0,REGULAR INSTRUCTIONAL,221 W MAIN ST,Y,1249,30.094886,-95.58583
94,94,554,101921,TOMBALL ISD,101921111,CANYON POINTE ELEMENTARY SCHOOL,13002 NORTHPOINTE BLVD,TOMBALL,77377,13002 NORTHPOINTE BLVD,TOMBALL,77377,101,HARRIS COUNTY,4,EE - 04,1,0,REGULAR INSTRUCTIONAL,13002 NORTHPOINTE BLVD,Y,94,30.061727,-95.681504
268,268,1273,101921,TOMBALL ISD,101921043,WILLOW WOOD JUNIOR HIGH SCHOOL,11770 GREGSON RD,TOMBALL,77377,11770 GREGSON RD,TOMBALL,77377,101,HARRIS COUNTY,4,8-Jul,3,0,REGULAR,11770 GREGSON RD,Y,268,30.061727,-95.681504
269,269,1274,101921,TOMBALL ISD,101921109,NORTHPOINTE INTERMEDIATE SCHOOL,11855 NORTHPOINTE BLVD,TOMBALL,77377,11855 NORTHPOINTE BLVD,TOMBALL,77377,101,HARRIS COUNTY,4,8-Jul,2,0,REGULAR,11855 NORTHPOINTE BLVD,Y,269,30.061727,-95.681504
